CO(GT),C6H6(GT),NOx(GT),NO2(GT),T,RH,AH,Cluster
2.628767123287671,2.1,183.0540540540541,95.0,24.1,55.5,1.6481,0
2.6534246575342464,2.9,185.21621621621625,95.5,22.5,60.9,1.6424,0
2.6780821917808217,4.3,187.3783783783784,96.0,22.0,64.5,1.6847,0
2.702739726027397,6.6,189.54054054054052,96.5,22.3,62.9,1.6754,0
2.7273972602739724,21.0,191.7027027027027,97.0,23.1,60.0,1.6711,0
2.752054794520548,26.2,193.86486486486487,97.5,24.7,55.1,1.6872,1
2.776712328767123,16.1,196.02702702702703,98.0,27.7,46.1,1.6852,0
2.8013698630136985,15.3,198.1891891891892,98.5,29.8,38.8,1.6029,0
2.826027397260274,16.5,200.35135135135133,99.0,31.5,32.6,1.478,0
2.850684931506849,14.1,202.51351351351352,99.5,31.8,30.5,1.4083,0
2.875342465753425,12.2,204.67567567567568,100.0,31.4,31.8,1.441,0
2.9,8.9,206.83783783783784,100.5,32.5,28.7,1.3796,0
1.9,11.0,209.0,101.0,33.8,25.8,1.3338,0
1.4,7.6,132.0,71.0,34.5,28.6,1.5393,0
2.0,10.1,166.0,82.0,32.7,33.0,1.5987,0
2.7,14.1,243.0,104.0,31.4,35.4,1.5972,0
2.8,14.1,247.0,105.0,27.7,43.5,1.592,0
2.0,10.3,165.0,87.0,26.2,47.8,1.5979,0
2.1,11.5,187.0,98.0,25.7,48.7,1.5825,0
2.0,10.9,206.0,105.0,25.2,50.1,1.58,0
1.8,10.4,200.0,104.0,24.4,53.4,1.6031,0
1.9,9.5,189.0,96.0,23.7,55.4,1.6031,0
1.3,7.0,136.0,79.0,22.8,58.5,1.5992,0
0.7,3.3,83.0,61.0,22.8,58.5,1.5985,0
0.5,2.6,77.5,54.5,22.3,59.7,1.5889,0
0.5,2.8,72.0,48.0,20.8,64.9,1.571,0
0.6,4.3,121.0,63.0,19.7,66.8,1.5184,0
1.3,8.5,268.0,92.0,19.8,64.3,1.4678,0
3.6,20.9,451.0,99.0,20.6,62.3,1.4915,1
4.9,35.2,458.0,117.0,23.2,54.0,1.5143,1
3.9,18.7,487.0,142.0,26.3,43.1,1.4542,1
2.2,12.8,319.0,121.0,29.1,35.4,1.4008,0
1.9,11.2,269.0,122.0,30.0,31.6,1.3176,0
2.2,13.3,224.0,108.0,32.4,26.3,1.2594,0
2.0,11.3,162.0,80.0,31.3,29.1,1.3054,0
1.7,10.4,189.0,93.0,31.1,28.6,1.2718,0
2.0,12.3,213.0,108.0,33.3,24.4,1.232,0
2.1,12.3,245.0,118.0,35.5,21.2,1.2022,0
3.2,19.4,341.0,149.0,34.6,22.0,1.189,1
4.0,21.5,382.0,171.0,33.3,23.6,1.1842,1
4.4,25.7,358.0,154.0,30.0,28.5,1.1896,1
3.0,14.5,288.0,122.0,28.0,33.0,1.2264,1
2.2,11.4,252.0,126.0,27.2,37.4,1.3279,0
1.7,9.5,201.0,121.0,26.6,39.9,1.3657,0
1.9,11.6,225.0,125.0,25.3,41.7,1.3247,0
2.0,11.4,242.0,126.0,24.3,44.7,1.3432,0
1.5,7.5,167.0,96.0,24.4,45.6,1.3779,0
0.8,5.3,99.0,73.0,23.1,49.9,1.3891,0
0.6,3.1,93.0,69.0,22.7,51.3,1.3977,0
0.6,4.0,87.0,65.0,21.8,54.1,1.4004,0
0.7,4.6,164.0,90.0,21.0,56.9,1.3999,0
0.8,5.8,87.0,58.0,21.8,55.5,1.4323,0
2.9,20.0,93.0,27.0,21.6,57.2,1.4607,0
5.2,30.0,417.0,67.0,22.8,54.2,1.4886,1
3.3,18.7,406.0,96.0,26.2,45.0,1.5098,1
3.340625,15.8,403.97435897435895,95.72649572649571,30.8,34.8,1.5165,1
3.38125,14.3,401.948717948718,95.45299145299144,34.1,28.8,1.5105,1
3.421875,14.4,399.9230769230769,95.17948717948718,35.9,24.7,1.437,1
3.4625,11.6,397.8974358974359,94.90598290598292,33.7,25.1,1.2915,0
3.503125,11.1,395.87179487179486,94.63247863247864,34.4,24.0,1.279,0
3.54375,13.5,393.84615384615387,94.35897435897436,36.4,20.3,1.214,1
3.584375,13.7,391.8205128205128,94.08547008547008,38.7,17.3,1.1729,1
3.625,15.3,389.7948717948718,93.8119658119658,37.2,18.9,1.1774,1
3.665625,26.0,387.7692307692308,93.53846153846152,36.1,20.0,1.1767,1
3.70625,28.6,385.7435897435897,93.26495726495726,32.8,29.4,1.4344,1
3.746875,17.0,383.71794871794873,92.991452991453,30.0,35.9,1.4958,1
3.7875,12.0,381.6923076923077,92.71794871794872,28.7,38.2,1.4794,1
3.828125,10.1,379.6666666666667,92.44444444444444,28.1,40.4,1.512,0
3.86875,9.7,377.6410256410256,92.17094017094016,27.4,41.4,1.4877,0
3.909375,9.6,375.61538461538464,91.8974358974359,26.4,44.0,1.4919,0
3.95,8.5,373.5897435897436,91.62393162393164,24.9,47.9,1.4855,0
3.990625,5.7,371.56410256410254,91.35042735042737,24.0,50.3,1.476,0
4.03125,3.1,369.5384615384616,91.07692307692308,25.2,47.9,1.5129,0
4.071875,2.7,367.5128205128205,90.8034188034188,24.2,50.6,1.5011,0
4.1125,3.3,365.4871794871795,90.52991452991454,23.1,55.0,1.5357,0
4.153124999999999,5.1,363.46153846153845,90.25641025641023,22.9,56.2,1.5522,0
4.19375,18.0,361.4358974358975,89.98290598290598,22.0,59.3,1.5523,1
4.234375,34.5,359.4102564102564,89.7094017094017,23.7,54.0,1.5627,1
4.275,20.0,357.38461538461536,89.43589743589743,26.7,45.7,1.5747,1
4.315625,18.9,355.3589743589744,89.16239316239316,31.4,34.5,1.5599,1
4.356249999999999,17.0,353.3333333333333,88.88888888888889,34.5,28.5,1.5324,1
4.396875,13.4,351.3076923076923,88.61538461538461,36.4,23.6,1.4064,1
4.4375,11.2,349.28205128205127,88.34188034188034,35.1,23.2,1.2884,1
4.478125,11.6,347.2564102564103,88.06837606837607,35.7,22.2,1.2765,1
4.51875,13.5,345.2307692307692,87.7948717948718,37.6,19.6,1.2534,1
4.559374999999999,13.9,343.2051282051282,87.52136752136752,38.8,17.6,1.1979,1
4.6,21.9,341.1794871794872,87.24786324786325,39.3,16.0,1.1138,1
4.3,23.2,339.1538461538462,86.97435897435898,37.0,23.6,1.4639,1
4.9,24.5,337.12820512820514,86.7008547008547,33.2,30.1,1.5095,1
4.0,16.3,335.1025641025641,86.42735042735043,31.0,33.1,1.462,1
2.6,13.1,333.0769230769231,86.15384615384616,29.5,33.4,1.3562,0
1.3,8.1,331.05128205128204,85.88034188034187,29.1,36.7,1.4502,0
1.5,8.1,329.025641025641,85.6068376068376,27.8,40.7,1.5002,0
2.2,11.4,327.0,85.33333333333333,26.0,45.3,1.4999,0
1.2,6.7,324.974358974359,85.05982905982906,25.8,45.4,1.487,0
0.9,6.2,322.948717948718,84.78632478632478,25.4,45.9,1.4684,0
0.8,4.5,320.9230769230769,84.51282051282051,25.2,46.4,1.464,0
0.8,4.7,318.8974358974359,84.23931623931624,23.0,52.7,1.4568,0
0.8,4.6,316.87179487179486,83.96581196581197,22.1,54.5,1.4337,0
1.0,5.3,314.84615384615387,83.6923076923077,22.5,53.6,1.4422,0
1.7,9.1,312.8205128205128,83.41880341880342,22.0,55.4,1.4436,0
1.9,11.0,310.7948717948718,83.14529914529915,23.4,51.6,1.4639,0
2.0,10.3,308.7692307692308,82.87179487179488,26.7,43.0,1.4808,0
2.2,11.2,306.7435897435897,82.59829059829059,31.3,32.9,1.4771,0
2.3,12.9,304.7179487179488,82.32478632478632,34.8,27.1,1.4837,0
2.3,13.2,302.6923076923077,82.05128205128204,38.3,21.5,1.4263,0
1.8,9.8,300.6666666666667,81.77777777777777,37.1,21.2,1.3107,0
1.4,7.9,298.64102564102564,81.5042735042735,37.3,20.3,1.2771,0
1.6,8.3,296.61538461538464,81.23076923076923,38.3,19.3,1.2736,0
2.3,11.9,294.5897435897436,80.95726495726495,40.7,17.0,1.2793,0
2.4,12.3,292.56410256410254,80.68376068376068,39.5,18.5,1.3076,0
2.1,10.0,290.53846153846155,80.41025641025641,36.6,22.6,1.3664,0
1.8,9.1,288.5128205128205,80.13675213675214,32.8,28.2,1.3842,0
1.7,7.8,286.4871794871795,79.86324786324786,30.7,30.7,1.3338,0
1.9,10.3,284.46153846153845,79.58974358974359,30.1,28.7,1.2052,0
1.6,8.0,282.43589743589746,79.31623931623932,29.7,25.4,1.044,0
2.6,13.3,280.4102564102564,79.04273504273505,29.6,24.3,0.9889,0
5.8,30.3,278.38461538461536,78.76923076923077,28.0,29.1,1.0846,1
3.0,18.5,276.3589743589744,78.4957264957265,27.2,33.3,1.1788,0
1.5,7.3,274.33333333333337,78.22222222222223,27.5,30.9,1.1155,0
0.9,4.2,272.3076923076923,77.94871794871794,27.1,33.3,1.1762,0
1.1,5.1,270.28205128205127,77.67521367521367,26.4,35.1,1.1919,0
0.9,4.4,268.2564102564103,77.4017094017094,25.6,37.6,1.2131,0
0.7,2.2,266.2307692307692,77.12820512820512,25.4,38.6,1.2352,0
0.6,2.9,264.2051282051282,76.85470085470085,25.5,38.2,1.2296,0
0.7,2.5,262.1794871794872,76.58119658119658,27.0,34.3,1.2089,0
0.8,2.8,260.1538461538462,76.3076923076923,29.9,29.6,1.2296,0
0.9,3.0,258.12820512820514,76.03418803418803,31.9,26.8,1.2477,0
1.0,2.7,256.1025641025641,75.76068376068376,33.0,23.5,1.1583,0
0.9,3.0,254.0769230769231,75.48717948717949,34.5,19.3,1.0369,0
0.7,2.4,252.05128205128204,75.21367521367522,33.2,19.0,0.9533,0
0.6,2.2,250.02564102564105,74.94017094017093,32.2,20.5,0.9699,0
0.6,1.9,248.0,74.66666666666666,32.6,17.5,0.8467,0
0.8,2.7,245.97435897435895,74.39316239316238,33.0,17.5,0.8683,0
0.9,3.4,243.948717948718,74.11965811965811,32.9,17.5,0.8622,0
1.1,4.3,241.92307692307693,73.84615384615384,31.6,18.0,0.8243,0
1.7,7.0,239.8974358974359,73.57264957264957,29.3,20.4,0.8162,0
1.5,5.5,237.8717948717949,73.2991452991453,27.8,24.4,0.9002,0
1.6,7.0,235.84615384615387,73.02564102564102,27.1,26.9,0.9524,0
1.7,6.7,233.8205128205128,72.75213675213675,26.3,29.5,0.9959,0
1.3,5.1,231.7948717948718,72.47863247863248,25.9,32.9,1.0826,0
1.3,4.1,229.7692307692308,72.2051282051282,25.3,36.9,1.1764,0
1.0,3.2,227.74358974358972,71.93162393162393,24.8,40.1,1.2378,0
0.6,1.7,225.71794871794876,71.65811965811966,24.3,42.9,1.2906,0
0.5,1.0,223.6923076923077,71.38461538461539,24.0,45.5,1.3404,0
0.45,1.0,221.66666666666669,71.11111111111111,23.9,47.4,1.3881,0
0.4,1.9,219.64102564102564,70.83760683760684,23.5,49.1,1.3991,0
0.7,3.1,217.6153846153846,70.56410256410257,23.7,49.2,1.4195,0
1.8,7.8,215.5897435897436,70.2905982905983,23.6,49.6,1.4247,0
1.9,8.5,213.56410256410257,70.01709401709401,24.3,45.4,1.365,0
1.7,8.0,211.53846153846155,69.74358974358974,26.3,38.3,1.2932,0
1.3,5.7,209.51282051282053,69.47008547008546,27.6,34.2,1.2464,0
1.4,6.6,207.4871794871795,69.19658119658119,29.2,29.1,1.1586,0
1.3,5.3,205.46153846153848,68.92307692307692,29.2,28.6,1.1423,0
1.4,6.0,203.43589743589743,68.64957264957265,29.4,28.3,1.1434,0
1.2,5.4,201.4102564102564,68.37606837606837,29.8,28.0,1.1558,0
1.3,6.1,199.3846153846154,68.1025641025641,30.1,26.7,1.1217,0
1.5,6.7,197.3589743589744,67.82905982905983,30.1,27.2,1.1406,0
2.3,11.7,195.33333333333331,67.55555555555556,29.6,27.5,1.1229,0
2.6,13.5,193.30769230769232,67.28205128205127,29.6,27.7,1.1278,0
2.9,13.5,191.2820512820513,67.008547008547,28.0,30.1,1.1226,0
1.8,8.5,189.25641025641028,66.73504273504273,26.8,33.8,1.1723,0
1.3,5.5,187.23076923076923,66.46153846153845,25.7,35.8,1.16,0
1.3,5.8,185.2051282051282,66.18803418803418,25.4,35.2,1.1255,0
1.2,4.8,183.1794871794872,65.91452991452991,25.0,37.3,1.1614,0
1.2,5.2,181.15384615384616,65.64102564102564,24.6,40.5,1.2362,0
0.8,3.0,179.12820512820514,65.36752136752136,24.2,43.8,1.3057,0
0.6,2.7,177.10256410256412,65.09401709401709,24.0,43.7,1.2876,0
0.6,3.6,175.0769230769231,64.82051282051282,21.9,48.3,1.2522,0
0.6,4.4,173.05128205128207,64.54700854700855,22.4,47.2,1.2593,0
0.7,4.0,171.02564102564105,64.27350427350427,22.9,46.5,1.2861,0
1.3,7.7,169.0,64.0,23.1,47.0,1.3122,0
2.5,13.9,231.0,72.0,23.7,46.2,1.3376,0
3.4,22.0,232.0,73.0,25.8,41.9,1.3688,1
2.1,10.2,145.0,64.0,27.3,38.3,1.3669,0
2.2,10.4,170.0,74.0,31.0,29.1,1.2885,0
1.7,8.0,214.0,89.0,31.6,25.5,1.1638,0
2.1,10.1,222.48387096774195,92.19354838709675,32.5,21.2,1.0173,0
2.2,10.7,230.96774193548387,95.38709677419357,31.7,20.5,0.9428,0
1.4,7.9,239.4516129032258,98.58064516129032,31.5,21.5,0.9768,0
1.4,7.1,247.93548387096772,101.7741935483871,31.6,20.8,0.9562,0
1.6,9.0,256.4193548387097,104.96774193548389,32.4,19.4,0.9279,0
2.3,11.2,264.9032258064516,108.16129032258064,31.7,20.3,0.9336,0
3.3,16.0,273.38709677419354,111.3548387096774,31.1,21.0,0.9337,1
4.1,19.9,281.8709677419355,114.5483870967742,28.9,25.4,0.9933,1
3.3,15.3,290.35483870967744,117.74193548387098,27.4,30.8,1.1112,1
2.2,11.1,298.8387096774194,120.93548387096774,26.3,34.1,1.1453,0
2.26,10.0,307.3225806451613,124.12903225806453,25.4,35.2,1.1288,0
2.3200000000000003,12.227272727272728,315.80645161290323,127.32258064516128,25.154545454545453,35.0,1.1078818181818182,0
2.38,14.454545454545451,324.2903225806452,130.51612903225805,24.909090909090907,34.800000000000004,1.0869636363636364,0
2.44,16.68181818181818,332.7741935483871,133.70967741935482,24.663636363636364,34.6,1.0660454545454543,1
2.5,18.909090909090907,341.258064516129,136.90322580645162,24.418181818181814,34.4,1.045127272727273,1
2.56,21.136363636363637,349.741935483871,140.09677419354838,24.172727272727272,34.2,1.0242090909090908,1
2.62,23.363636363636363,358.2258064516129,143.29032258064515,23.92727272727273,34.0,1.003290909090909,1
2.68,25.59090909090909,366.7096774193549,146.48387096774195,23.68181818181818,33.800000000000004,0.9823727272727272,1
2.74,27.818181818181817,375.1935483870968,149.67741935483872,23.436363636363637,33.6,0.9614545454545456,1
2.8,30.045454545454543,383.6774193548387,152.8709677419355,23.19090909090909,33.4,0.9405363636363636,1
2.86,32.272727272727266,392.1612903225807,156.06451612903226,22.945454545454545,33.2,0.919618181818182,1
2.92,34.5,400.64516129032256,159.25806451612902,22.7,33.0,0.8987,1
2.98,32.766666666666666,409.1290322580645,162.4516129032258,23.77777777777778,31.53333333333333,0.9042222222222224,1
3.04,31.03333333333333,417.61290322580646,165.64516129032256,24.855555555555554,30.066666666666663,0.9097444444444444,1
3.1,29.3,426.0967741935484,168.83870967741933,25.933333333333334,28.6,0.9152666666666668,1
3.16,27.566666666666663,434.5806451612904,172.03225806451613,27.01111111111111,27.133333333333333,0.9207888888888888,1
3.22,25.83333333333333,443.06451612903226,175.2258064516129,28.08888888888889,25.666666666666668,0.9263111111111112,1
3.28,24.1,451.5483870967742,178.4193548387097,29.166666666666664,24.200000000000003,0.9318333333333334,1
3.34,22.366666666666667,460.03225806451616,181.6129032258065,30.244444444444444,22.73333333333333,0.9373555555555556,1
3.4,20.633333333333333,468.5161290322581,184.80645161290323,31.322222222222223,21.266666666666666,0.9428777777777778,1
4.0,18.9,477.0,188.0,32.4,19.8,0.9484,1
4.7,24.1,502.0,176.0,29.9,22.3,0.9235,1
3.8,18.1,420.0,163.0,28.2,24.8,0.936,1
2.8,15.8,344.0,155.0,26.8,28.9,1.0019,1
2.6,14.6,307.0,146.0,25.1,32.3,1.0131,1
2.0,10.6,251.0,131.0,25.4,30.5,0.9722,0
1.4,7.5,180.0,119.0,24.9,28.3,0.8775,0
1.2,7.4,141.0,98.0,23.2,30.5,0.8558,0
0.6,3.8,105.0,89.0,22.3,33.6,0.8959,0
0.3,2.3,89.5,78.5,23.0,33.0,0.9184,0
0.2,2.3,74.0,68.0,21.4,35.7,0.8982,0
0.4,2.7,91.0,65.0,21.7,33.4,0.8545,0
0.6,4.9,143.0,81.0,20.3,35.5,0.8342,0
3.0,18.2,553.0,136.0,19.7,37.5,0.8501,1
3.2,21.4,542.0,130.0,21.0,35.6,0.8736,1
3.5,21.3,590.0,157.0,25.0,28.9,0.9025,1
3.1,19.9,590.0,171.0,31.0,21.9,0.9708,1
2.2,14.8,387.0,143.0,34.9,18.5,1.0189,1
1.7,12.6,252.0,116.0,37.1,15.0,0.9297,0
2.0,13.0,310.0,129.0,35.0,17.3,0.9542,0
2.5,16.2,396.0,168.0,35.1,17.5,0.9733,1
2.4,15.0,329.0,152.0,35.4,16.6,0.9385,1
2.9,16.2,393.0,175.0,38.4,13.8,0.9221,1
4.2,22.7,522.0,212.0,37.6,14.5,0.9277,1
5.4,32.3,631.0,220.0,35.2,16.6,0.9242,1
4.3,22.3,435.0,175.0,31.2,25.5,1.1379,1
3.6,16.6,407.0,165.0,29.3,30.7,1.229,1
2.0,11.0,255.0,136.0,28.3,30.1,1.1392,0
1.5,11.3,180.0,111.0,27.4,31.5,1.133,0
1.5,9.3,186.0,114.0,26.2,35.7,1.1929,0
1.2,7.3,147.0,96.0,25.2,38.1,1.2049,0
1.0,5.5,101.0,75.0,24.4,39.1,1.1784,0
0.5,3.5,69.0,58.0,23.7,39.1,1.1289,0
0.5,2.8,59.0,49.5,24.2,38.5,1.1491,0
0.4,2.9,49.0,41.0,24.5,38.5,1.1688,0
0.5,3.6,91.0,55.0,22.4,43.5,1.1624,0
0.7,5.5,144.0,73.0,22.3,43.8,1.1631,0
2.4,15.5,430.0,108.0,21.4,45.8,1.1515,1
4.1,28.3,606.0,147.0,22.9,41.3,1.1383,1
3.0,17.8,519.0,150.0,26.6,30.3,1.0378,1
2.0,12.8,353.0,131.0,30.3,23.0,0.977,0
2.5,15.7,429.0,144.0,32.8,18.9,0.9234,1
2.4,15.4,345.0,151.0,34.3,17.7,0.9416,1
2.6,15.6,417.0,165.0,33.3,18.9,0.9536,1
1.9,12.6,276.0,135.0,33.0,20.1,0.9959,0
2.1,12.2,280.0,143.0,33.6,19.6,1.0029,0
2.5,13.4,365.0,153.0,34.9,18.4,1.0106,1
2.7,14.3,363.0,149.0,33.4,20.3,1.027,1
3.3,16.5,393.0,164.0,31.6,22.7,1.041,1
3.2,17.4,385.0,180.0,29.2,26.9,1.0709,1
2.6,12.9,307.0,159.0,27.7,30.1,1.0991,1
1.4,8.2,194.0,119.0,27.1,31.0,1.0991,0
1.6,9.2,205.0,127.0,26.0,33.4,1.1071,0
1.7,9.3,223.0,131.0,25.1,35.7,1.1222,0
1.6,10.4,176.0,101.0,24.3,38.5,1.1525,0
1.6258620689655174,6.2,181.1551724137931,101.63793103448276,23.4,40.7,1.1551,0
1.6517241379310346,4.2,186.31034482758625,102.27586206896552,23.2,41.2,1.1561,0
1.677586206896552,3.1,191.4655172413793,102.91379310344828,23.6,40.5,1.1667,0
1.703448275862069,2.3,196.6206896551724,103.55172413793105,23.5,40.9,1.1677,0
1.7293103448275864,3.1,201.77586206896552,104.1896551724138,20.5,48.4,1.1557,0
1.7551724137931035,4.0,206.9310344827586,104.82758620689656,20.7,48.4,1.1663,0
1.7810344827586209,10.8,212.0862068965517,105.46551724137932,19.9,50.8,1.1694,0
1.806896551724138,13.0,217.24137931034485,106.10344827586206,21.3,47.2,1.1825,0
1.8327586206896556,10.3,222.39655172413796,106.74137931034484,24.0,40.8,1.1993,0
1.8586206896551725,16.3,227.55172413793105,107.3793103448276,28.7,30.3,1.1769,0
1.8844827586206896,12.7,232.70689655172413,108.01724137931036,31.9,24.7,1.1477,0
1.910344827586207,9.7,237.86206896551724,108.65517241379312,33.8,21.9,1.1331,0
1.9362068965517245,9.1,243.01724137931035,109.29310344827586,32.7,22.7,1.1044,0
1.9620689655172412,7.0,248.17241379310343,109.93103448275862,33.0,21.3,1.0512,0
1.9879310344827588,7.0,253.3275862068965,110.56896551724138,33.9,21.2,1.0989,0
2.013793103448276,9.5,258.48275862068965,111.20689655172414,35.9,20.3,1.1845,0
2.039655172413793,9.8,263.6379310344828,111.84482758620688,34.2,22.6,1.197,0
2.0655172413793106,11.7,268.7931034482759,112.48275862068964,32.0,27.3,1.2752,0
2.0913793103448275,13.9,273.9482758620689,113.1206896551724,29.3,32.6,1.3105,0
2.117241379310345,8.7,279.1034482758621,113.75862068965516,27.2,38.0,1.347,0
2.143103448275862,10.9,284.2586206896552,114.39655172413794,26.1,41.1,1.3705,0
2.1689655172413795,12.3,289.41379310344826,115.0344827586207,25.3,44.6,1.4161,0
2.1948275862068964,12.4,294.5689655172414,115.67241379310344,24.6,47.2,1.4424,0
2.220689655172414,12.1,299.7241379310345,116.3103448275862,24.1,48.8,1.4412,0
2.246551724137931,8.0,304.8793103448276,116.94827586206895,23.6,50.4,1.447,0
2.2724137931034485,8.4,310.0344827586207,117.58620689655172,22.0,55.8,1.4585,0
2.298275862068966,4.9,315.1896551724138,118.22413793103448,22.4,53.6,1.4379,0
2.3241379310344827,4.2,320.34482758620686,118.86206896551724,21.6,55.8,1.4228,0
2.35,2.3,325.5,119.5,21.8,55.2,1.4184,0
2.375862068965517,2.5,330.6551724137931,120.13793103448276,21.7,55.4,1.4192,0
2.4017241379310343,4.9,335.81034482758616,120.77586206896552,20.6,59.8,1.435,0
2.427586206896552,6.6,340.9655172413793,121.41379310344828,22.1,55.3,1.4495,0
2.453448275862069,6.5,346.12068965517244,122.05172413793105,24.8,48.2,1.4883,0
2.4793103448275864,6.4,351.2758620689655,122.6896551724138,27.9,43.4,1.6017,0
2.505172413793104,5.6,356.4310344827586,123.32758620689656,30.1,38.5,1.6212,0
2.5310344827586206,6.4,361.5862068965517,123.96551724137932,28.2,48.6,1.8253,0
2.556896551724138,7.6,366.7413793103448,124.60344827586206,24.8,70.4,2.1766,0
2.582758620689656,3.5,371.8965517241379,125.24137931034484,27.8,49.4,1.8209,0
2.608620689655172,3.3,377.0517241379311,125.8793103448276,25.4,59.9,1.9168,0
2.63448275862069,6.6,382.2068965517241,126.51724137931036,26.1,66.8,2.231,0
2.660344827586207,8.3,387.3620689655172,127.15517241379312,28.0,53.2,1.981,0
2.6862068965517243,8.0,392.5172413793104,127.79310344827589,27.4,51.4,1.8404,0
2.7120689655172416,12.6,397.6724137931034,128.43103448275863,25.7,55.8,1.8149,1
2.7379310344827585,17.5,402.8275862068965,129.0689655172414,24.6,60.3,1.8363,1
2.763793103448276,14.8,407.9827586206897,129.70689655172413,24.2,61.6,1.8381,1
2.789655172413793,23.3,413.13793103448273,130.3448275862069,23.8,63.5,1.8495,1
2.81551724137931,12.2,418.2931034482758,130.98275862068965,23.0,64.8,1.802,1
2.841379310344828,7.2,423.44827586206895,131.6206896551724,23.0,63.3,1.7589,1
2.867241379310345,4.6,428.6034482758621,132.25862068965515,22.8,63.3,1.7355,0
2.893103448275862,3.8,433.7586206896552,132.89655172413794,21.0,68.6,1.6873,0
2.9189655172413795,3.7,438.91379310344826,133.5344827586207,20.4,70.7,1.6734,0
2.9448275862068964,4.0,444.0689655172414,134.17241379310346,19.4,73.4,1.6417,1
2.970689655172414,5.5,449.2241379310345,134.81034482758622,19.5,72.0,1.6118,1
2.996551724137931,8.3,454.3793103448276,135.44827586206895,19.7,70.3,1.5925,1
3.022413793103448,28.2,459.5344827586207,136.08620689655174,20.4,66.7,1.577,1
3.048275862068966,32.1,464.6896551724138,136.72413793103448,21.8,61.8,1.5966,1
3.0741379310344827,17.7,469.84482758620686,137.36206896551724,23.0,60.2,1.6652,1
3.1,18.4,475.0,138.0,25.4,53.0,1.6963,1
2.9,16.3,395.0,138.0,30.0,41.6,1.7324,1
3.0,18.2,353.0,138.0,32.6,34.8,1.6872,1
3.0,17.9,397.0,137.0,32.2,34.2,1.6145,1
2.2,12.6,274.0,120.0,32.1,33.5,1.569,0
2.0,11.3,505.0,208.0,32.6,31.8,1.5361,1
2.3,14.9,275.0,128.0,35.2,25.2,1.4111,0
3.1,18.5,360.0,145.0,34.3,24.7,1.3154,1
4.65,25.2,478.5,156.5,31.5,29.9,1.3638,1
6.2,35.9,597.0,168.0,29.0,36.6,1.4452,1
4.7,26.7,728.0,177.0,27.1,42.2,1.4949,1
3.0,19.9,891.0,172.0,26.1,46.4,1.5445,1
2.1,14.6,346.0,112.0,25.1,49.4,1.548,0
1.0,6.9,98.0,39.0,26.0,46.4,1.5375,0
0.8,5.6,144.0,68.0,24.7,49.2,1.5116,0
0.7,3.9,110.0,51.0,24.8,49.0,1.5092,0
0.7649999999999999,3.2,115.775,52.525,23.5,52.6,1.5035,0
0.83,3.9,121.55,54.05,20.8,62.1,1.5044,0
0.8949999999999999,4.6,127.325,55.575,19.9,65.5,1.5078,0
0.96,5.0,133.1,57.1,20.6,62.9,1.5088,0
1.025,9.6,138.875,58.625,21.3,59.4,1.4918,0
1.09,27.8,144.65,60.15,22.0,58.3,1.5199,0
1.1549999999999998,32.1,150.425,61.675,23.2,55.4,1.5559,0
1.2199999999999998,20.9,156.2,63.2,26.5,50.2,1.713,0
1.2849999999999997,11.8,161.975,64.725,29.0,45.5,1.7976,0
1.35,15.8,167.75,66.25,30.1,42.0,1.7602,0
1.4149999999999998,15.8,173.525,67.775,32.3,35.9,1.7067,0
1.4799999999999998,14.0,179.3,69.3,33.2,33.8,1.69,0
1.545,8.2,185.075,70.825,34.0,33.6,1.7591,0
1.61,13.7,190.85,72.35,29.9,45.6,1.8942,0
1.6749999999999998,19.5,196.625,73.875,27.7,53.7,1.967,0
1.7399999999999998,26.7,202.4,75.4,28.0,52.7,1.9604,0
1.805,18.7,208.175,76.925,28.6,48.2,1.8616,0
1.87,13.9,213.95,78.45,24.8,61.6,1.9067,0
1.935,6.7,219.725,79.975,20.3,77.2,1.8204,0
2.0,4.2,225.5,81.5,19.7,82.5,1.8674,0
2.0649999999999995,3.6,231.275,83.025,20.6,78.8,1.8885,0
2.13,4.4,237.05,84.55,19.2,87.2,1.9195,0
2.1949999999999994,4.2,242.825,86.07499999999999,20.5,81.5,1.936,0
2.26,2.6,248.6,87.6,21.4,74.0,1.8683,0
2.325,3.1,254.375,89.125,20.5,78.2,1.8678,0
2.39,3.0,260.15,90.65,20.7,77.8,1.8764,0
2.455,3.4,265.925,92.175,20.5,78.0,1.8636,0
2.52,4.0,271.70000000000005,93.7,20.6,76.2,1.8272,0
2.5849999999999995,7.8,277.475,95.225,20.1,77.4,1.802,0
2.6499999999999995,16.1,283.25,96.75,20.9,73.3,1.787,0
2.715,27.6,289.025,98.275,21.2,72.3,1.8007,1
2.78,17.8,294.8,99.8,22.5,68.9,1.8511,1
2.845,18.5,300.57500000000005,101.325,23.7,64.5,1.8682,1
2.9099999999999997,21.6,306.35,102.85,23.2,68.4,1.9243,1
2.975,21.0,312.125,104.375,23.5,69.2,1.9776,1
3.039999999999999,17.2,317.9,105.9,24.1,65.5,1.9371,1
3.1049999999999995,16.1,323.675,107.425,24.2,65.6,1.9501,1
3.17,18.6,329.45000000000005,108.95,24.6,63.9,1.9459,1
3.2349999999999994,17.2,335.225,110.475,26.3,56.5,1.9018,1
3.3,17.3,341.0,112.0,26.9,53.1,1.8557,1
6.1,28.6,622.0,170.0,26.5,50.8,1.7334,1
